"gender","d_age","race","samerace","race_o","attractive_o","sinsere_o","intelligence_o","funny_o","ambitous_o","shared_interests_o","attractive","sincere","intelligence","funny","ambition","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","decision_o"
"female",6,"Asian/Pacific Islander/Asian-American",0,"European/Caucasian-American",6,8,8,8,8,6,6,8,8,8,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0
"female",1,"Asian/Pacific Islander/Asian-American",0,"European/Caucasian-American",7,8,10,7,7,5,6,8,8,8,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0
"female",1,"Asian/Pacific Islander/Asian-American",1,"Asian/Pacific Islander/Asian-American",10,10,10,10,10,10,6,8,8,8,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1
"female",2,"Asian/Pacific Islander/Asian-American",0,"European/Caucasian-American",7,8,9,8,9,8,6,8,8,8,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1
"female",3,"Asian/Pacific Islander/Asian-American",0,"Latino/Hispanic American",8,7,9,6,9,7,6,8,8,8,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1
"female",4,"Asian/Pacific Islander/Asian-American",0,"European/Caucasian-American",7,7,8,8,7,7,6,8,8,8,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1
"female",9,"Asian/Pacific Islander/Asian-American",0,"European/Caucasian-American",3,6,7,5,8,7,6,8,8,8,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0
"female",6,"Asian/Pacific Islander/Asian-American",0,"European/Caucasian-American",6,7,5,6,8,6,6,8,8,8,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0
"female",7,"Asian/Pacific Islander/Asian-American",0,"European/Caucasian-American",7,7,8,8,8,9,6,8,8,8,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,1
"female",3,"Asian/Pacific Islander/Asian-American",0,"European/Caucasian-American",6,6,6,6,6,6,6,8,8,8,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0
"female",3,"European/Caucasian-American",1,"European/Caucasian-American",8,7,6,9,7,4,7,5,10,8,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0
"female",2,"European/Caucasian-American",1,"European/Caucasian-American",7,6,10,6,6,5,7,5,10,8,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0
"female",2,"European/Caucasian-American",0,"Asian/Pacific Islander/Asian-American",10,10,10,10,10,10,7,5,10,8,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1
"female",1,"European/Caucasian-American",1,"European/Caucasian-American",9,9,9,9,9,9,7,5,10,8,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1
"female",0,"European/Caucasian-American",0,"Latino/Hispanic American",10,10,10,10,7,8,7,5,10,8,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1
"female",1,"European/Caucasian-American",1,"European/Caucasian-American",7,8,7,5,7,7,7,5,10,8,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1
"female",6,"European/Caucasian-American",1,"European/Caucasian-American",5,3,4,3,5,3,7,5,10,8,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0
"female",3,"European/Caucasian-American",1,"European/Caucasian-American",7,7,7,7,7,5,7,5,10,8,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1
"female",4,"European/Caucasian-American",1,"European/Caucasian-American",8,6,9,9,8,7,7,5,10,8,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,1
"female",0,"European/Caucasian-American",1,"European/Caucasian-American",6,5,7,7,9,7,7,5,10,8,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0
"female",2,"European/Caucasian-American",1,"European/Caucasian-American",7,8,6,5,8,4,8,9,8,9,8,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0
"female",3,"European/Caucasian-American",1,"European/Caucasian-American",6,7,10,6,6,5,8,9,8,9,8,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0
"female",3,"European/Caucasian-American",0,"Asian/Pacific Islander/Asian-American",10,10,10,10,10,10,8,9,8,9,8,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,1
"female",2,"European/Caucasian-American",1,"European/Caucasian-American",7,9,8,8,8,8,8,9,8,9,8,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,1
"female",0,"European/Caucasian-American",1,"European/Caucasian-American",7,6,6,6,6,6,8,9,8,9,8,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,1
"female",5,"European/Caucasian-American",1,"European/Caucasian-American",6,3,5,4,5,4,8,9,8,9,8,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0
"female",2,"European/Caucasian-American",1,"European/Caucasian-American",4,5,6,4,6,4,8,9,8,9,8,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0
