"gender","age","race","samerace","field","interests_correlate","met","decision","match","guess_prob_liked","like","expected_happy_with_sd_people","attractive","sincere","intelligence","funny","ambition","attractive_partner","sincere_partner","intelligence_partner","funny_partner","ambition_partner","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","importance_same_race","importance_same_religion","attractive_important","sincere_important","intellicence_important","funny_important","ambtition_important","shared_interests_important"
"female",21,"Asian/Pacific Islander/Asian-American",0,"Law",0.14,0,1,0,6.4,7.3,3,5.5,7.75,7.75,7.42857142857143,6.625,6.4,9.1,7.3,7.3,6.4,9,2,8,9,1,1,5.5,1.64285714285714,5,4.75,9,1,10,10,9,8,1.9,2.8,4,2.35,4.82978723404255,4.6,3.7,3.54716981132075,5.5
"female",21,"Asian/Pacific Islander/Asian-American",0,"Law",0.54,1,1,0,5.5,7.3,3,5.5,7.75,7.75,7.42857142857143,6.625,7.3,8.2,7.3,8.2,5.5,9,2,8,9,1,1,5.5,1.64285714285714,5,4.75,9,1,10,10,9,8,1.9,2.8,4,2.35,4.82978723404255,4.6,3.7,3.54716981132075,5.5
"female",21,"Asian/Pacific Islander/Asian-American",0,"Law",0.61,0,1,1,6.4,7.3,3,5.5,7.75,7.75,7.42857142857143,6.625,7.3,6.4,8.2,7.3,6.4,9,2,8,9,1,1,5.5,1.64285714285714,5,4.75,9,1,10,10,9,8,1.9,2.8,4,2.35,4.82978723404255,4.6,3.7,3.54716981132075,5.5
"female",21,"Asian/Pacific Islander/Asian-American",0,"Law",0.21,0,1,1,6.4,6.4,3,5.5,7.75,7.75,7.42857142857143,6.625,5.5,6.4,7.3,7.3,6.4,9,2,8,9,1,1,5.5,1.64285714285714,5,4.75,9,1,10,10,9,8,1.9,2.8,4,2.35,4.82978723404255,4.6,3.7,3.54716981132075,5.5
"female",21,"Asian/Pacific Islander/Asian-American",0,"Law",0.25,0,0,0,5.5,6.4,3,5.5,7.75,7.75,7.42857142857143,6.625,4.6,9.1,7.3,4.6,6.4,9,2,8,9,1,1,5.5,1.64285714285714,5,4.75,9,1,10,10,9,8,1.9,2.8,4,2.35,4.82978723404255,4.6,3.7,3.54716981132075,5.5
"female",21,"Asian/Pacific Islander/Asian-American",0,"Law",0.34,0,1,0,5.5,6.4,3,5.5,7.75,7.75,7.42857142857143,6.625,7.3,6.4,7.3,4.6,6.4,9,2,8,9,1,1,5.5,1.64285714285714,5,4.75,9,1,10,10,9,8,1.9,2.8,4,2.35,4.82978723404255,4.6,3.7,3.54716981132075,5.5
"female",21,"Asian/Pacific Islander/Asian-American",0,"Law",0.28,0,1,1,7.3,7.3,3,5.5,7.75,7.75,7.42857142857143,6.625,7.3,6.4,8.2,9.1,8.2,9,2,8,9,1,1,5.5,1.64285714285714,5,4.75,9,1,10,10,9,8,1.9,2.8,4,2.35,4.82978723404255,4.6,3.7,3.54716981132075,5.5
"female",21,"Asian/Pacific Islander/Asian-American",0,"Law",-0.36,0,1,0,6.4,6.4,3,5.5,7.75,7.75,7.42857142857143,6.625,5.5,6.4,6.4,8.2,10,9,2,8,9,1,1,5.5,1.64285714285714,5,4.75,9,1,10,10,9,8,1.9,2.8,4,2.35,4.82978723404255,4.6,3.7,3.54716981132075,5.5
"female",24,"European/Caucasian-American",1,"law",0.29,0,0,0,4.6,6.4,4,6.625,4.375,10,7.42857142857143,2.125,5.5,7.3,8.2,4.6,6.4,3,2,7,10,8,6,3.7,4.21428571428571,8,7.75,1,9,7.75,7,8,3,1.9,2.8,5,5.05,1.95744680851064,5.5,4.6,1,2.5
"female",24,"European/Caucasian-American",1,"law",0.18,0,0,0,3.7,7.3,4,6.625,4.375,10,7.42857142857143,2.125,8.2,5.5,6.4,6.4,9.1,3,2,7,10,8,6,3.7,4.21428571428571,8,7.75,1,9,7.75,7,8,3,1.9,2.8,5,5.05,1.95744680851064,5.5,4.6,1,2.5
