Variable Group ,Variable Name,Variable Description,Keep,Data Type,
Self reported Subject,Self,,n,,Overview
Self reported Subject,gender,Gender of self,y,Char,
Self reported Subject,age,Age of self,n,,predict (attr_sub) -> decision
Self reported Subject,age_o,Age of partner,n,,
Self reported Subject,d_age,Difference in age,y,Int,
Self reported Subject,race,Race of self,y,Char,
Self reported Subject,samerace,Whether the two persons have the same race or not.,y,Char,
Self reported Subject,importance_same_race,How important is it that partner is of same race?,n,,
Self reported Subject,importance_same_religion,How important is it that partner has same religion?,n,,
Self reported Subject,field,Field of study,n,,
Partner: Preferences Ratings,race_o,Race of partner,y,Char,
Partner: Preferences Ratings,pref_o_attractive,How important does partner rate attractiveness,n,,
Partner: Preferences Ratings,pref_o_sincere,How important does partner rate sincerity,n,,
Partner: Preferences Ratings,pref_o_intelligence,How important does partner rate intelligence,n,,
Partner: Preferences Ratings,pref_o_funny,How important does partner rate being funny,n,,
Partner: Preferences Ratings,pref_o_ambitious,How important does partner rate ambition,n,,
Partner: Preferences Ratings,pref_o_shared_interests,How important does partner rate having shared interests,n,,
Partner: Preferences Ratings,attractive_o,Rating by partner (about me) at night of event on attractiveness,y,Int range: 1 - 10,
Partner: Preferences Ratings,sincere_o,Rating by partner (about me) at night of event on sincerity,y,Int range: 1 - 10,
Partner: Preferences Ratings,intelligence_o,Rating by partner (about me) at night of event on intelligence,y,Int range: 1 - 10,
Partner: Preferences Ratings,funny_o,Rating by partner (about me) at night of event on being funny,y,Int range: 1 - 10,
Partner: Preferences Ratings,ambitous_o,Rating by partner (about me) at night of event on being ambitious,y,Int range: 1 - 10,
Partner: Preferences Ratings,shared_interests_o,Rating by partner (about me) at night of event on shared interest,y,Int range: 1 - 10,
Subject Self: Preferences/Importance Perceived,attractive_important,What do you look for in a partner - attractiveness,n,,
Subject Self: Preferences/Importance Perceived,sincere_important,What do you look for in a partner - sincerity,n,,
Subject Self: Preferences/Importance Perceived,intelligence_important,What do you look for in a partner - intelligence,n,,
Subject Self: Preferences/Importance Perceived,funny_important,What do you look for in a partner - being funny,n,,
Subject Self: Preferences/Importance Perceived,ambtition_important,What do you look for in a partner - ambition,n,,
Subject Self: Preferences/Importance Perceived,shared_interests_important,What do you look for in a partner - shared interests,n,,
Subject Self: Self-evaluation,attractive,Rate yourself - attractiveness,y,Int range: 1 - 10,
Subject Self: Self-evaluation,sincere,Rate yourself - sincerity,y,Int range: 1 - 10,
Subject Self: Self-evaluation,intelligence,Rate yourself - intelligence,y,Int range: 1 - 10,
Subject Self: Self-evaluation,funny,Rate yourself - being funny,y,Int range: 1 - 10,
Subject Self: Self-evaluation,ambition,Rate yourself - ambition,y,Int range: 1 - 10,
Self: Partner Rating,attractive_partner,Rate your partner - attractiveness,n,,
Self: Partner Rating,sincere_partner,Rate your partner - sincerity,n,,
Self: Partner Rating,intelligence_partner,Rate your partner - intelligence,n,,
Self: Partner Rating,funny_partner,Rate your partner - being funny,n,,
Self: Partner Rating,ambition_partner,Rate your partner - ambition,n,,
Self: Partner Rating,shared_interests_partner,Rate your partner - shared interests,n,,
Subject Self: Degree of Interest on common Interests,sports,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,tvsports,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,exercise,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,dining,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,museums,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,art,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,hiking,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,gaming,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,clubbing,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,reading,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,tv,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,theater,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,movies,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,concerts,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,music,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,shopping,Your own interests [1-10],y,Int range: 1 - 10,
Subject Self: Degree of Interest on common Interests,yoga,Your own interests [1-10],y,Int range: 1 - 10,
Meta-data: Interests,Meta-data: Interests,,,,
Meta-data: Interests,interests_correlate,Correlation between participant’s and partner’s ratings of interests.,n,,
Meta-data: Interests,Expectations,,,,
Meta-data: Interests,expected_happy_with_sd_people,How happy do you expect to be with the people you meet during the speed-dating event?,n,,
Meta-data: Interests,expected_num_interested_in_me,"Out of the 20 people you will meet, how many do you expect will be interested in dating you?",n,,
Meta-data: Interests,expected_num_matches,How many matches do you expect to get?,n,,
Results,Results,,,,
Results,like,Did you like your partner?,n,,
Results,guess_prob_liked,How likely do you think it is that your partner likes you?,n,,
Results,met,Have you met your partner before?,n,,
Results,decision,Decision at night of event.,n,,
Results,decision_o,Decision of partner at night of event.,y,"0: No, 1: Yes",
Results,match,Match (yes/no),n,,
