"has_null","wave","gender","age","race","samerace","importance_same_race","importance_same_religion","field","attractive_important","sincere_important","intellicence_important","funny_important","ambtition_important","shared_interests_important","attractive","sincere","intelligence","funny","ambition","attractive_partner","sincere_partner","intelligence_partner","funny_partner","ambition_partner","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","interests_correlate","expected_happy_with_sd_people","like","guess_prob_liked","met","decision","match"
0,1,"female",21,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,20,20,15,15,15,6,8,8,8,7,6,9,7,7,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.14,3,7,6,0,1,0
0,1,"female",21,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,20,20,15,15,15,6,8,8,8,7,7,8,7,8,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.54,3,7,5,1,1,0
0,1,"female",21,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,20,20,15,15,15,6,8,8,8,7,7,6,8,7,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.61,3,7,6,0,1,1
0,1,"female",21,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,20,20,15,15,15,6,8,8,8,7,5,6,7,7,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.21,3,6,6,0,1,1
0,1,"female",21,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,20,20,15,15,15,6,8,8,8,7,4,9,7,4,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.25,3,6,5,0,0,0
0,1,"female",21,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,20,20,15,15,15,6,8,8,8,7,7,6,7,4,6,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.34,3,6,5,0,1,0
0,1,"female",21,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,20,20,15,15,15,6,8,8,8,7,7,6,8,9,8,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.28,3,7,7,0,1,1
0,1,"female",21,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,20,20,15,15,15,6,8,8,8,7,5,6,6,8,10,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,-0.36,3,6,6,0,1,0
0,1,"female",24,"European/Caucasian-American",1,2,5,"law",45,5,25,20,0,5,7,5,10,8,3,5,7,8,4,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.29,4,6,4,0,0,0
0,1,"female",24,"European/Caucasian-American",1,2,5,"law",45,5,25,20,0,5,7,5,10,8,3,8,5,6,6,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.18,4,7,3,0,0,0
0,1,"female",24,"European/Caucasian-American",0,2,5,"law",45,5,25,20,0,5,7,5,10,8,3,5,8,9,6,3,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.1,4,6,7,0,0,0
0,1,"female",24,"European/Caucasian-American",1,2,5,"law",45,5,25,20,0,5,7,5,10,8,3,7,9,7,6,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,-0.21,4,7,8,0,1,1
0,1,"female",24,"European/Caucasian-American",0,2,5,"law",45,5,25,20,0,5,7,5,10,8,3,6,8,7,9,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.32,4,8,6,1,0,0
0,1,"female",24,"European/Caucasian-American",1,2,5,"law",45,5,25,20,0,5,7,5,10,8,3,8,7,8,3,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.73,4,6,5,0,0,0
0,1,"female",24,"European/Caucasian-American",1,2,5,"law",45,5,25,20,0,5,7,5,10,8,3,7,5,9,6,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.6,4,8,7,0,1,0
0,1,"female",24,"European/Caucasian-American",1,2,5,"law",45,5,25,20,0,5,7,5,10,8,3,5,8,7,5,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.07,4,5,6,0,0,0
0,1,"female",24,"European/Caucasian-American",1,2,5,"law",45,5,25,20,0,5,7,5,10,8,3,7,6,8,9,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.11,4,5,6,0,1,1
0,1,"female",24,"European/Caucasian-American",1,2,5,"law",45,5,25,20,0,5,7,5,10,8,3,6,7,8,7,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.39,4,8,7,0,1,0
1,1,"female",25,"European/Caucasian-American",1,8,4,"Economics",35,10,35,10,10,0,8,9,8,9,8,7,9,10,7,8,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.24,4,8,7,1,0,0
1,1,"female",25,"European/Caucasian-American",1,8,4,"Economics",35,10,35,10,10,0,8,9,8,9,8,9,7,9,8,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.14,4,8,7,0,0,0
1,1,"female",25,"European/Caucasian-American",0,8,4,"Economics",35,10,35,10,10,0,8,9,8,9,8,7,9,9,7,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0.09,4,8,7,0,0,0
1,1,"female",25,"European/Caucasian-American",1,8,4,"Economics",35,10,35,10,10,0,8,9,8,9,8,9,7,9,7,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.04,4,8,7,0,0,0
1,1,"female",25,"European/Caucasian-American",1,8,4,"Economics",35,10,35,10,10,0,8,9,8,9,8,8,9,10,7,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.26,4,8,7,0,0,0
1,1,"female",25,"European/Caucasian-American",1,8,4,"Economics",35,10,35,10,10,0,8,9,8,9,8,7,9,9,8,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0.29,4,8,7,0,0,0
1,1,"female",25,"European/Caucasian-American",1,8,4,"Economics",35,10,35,10,10,0,8,9,8,9,8,9,9,9,9,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.15,4,9,7,0,0,0
1,1,"female",25,"European/Caucasian-American",1,8,4,"Economics",35,10,35,10,10,0,8,9,8,9,8,8,7,9,7,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.47,4,8,7,0,0,0
0,1,"female",23,"European/Caucasian-American",1,1,1,"Law",20,20,20,20,10,10,7,8,9,7,8,4,10,8,5,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,6,7,0,0,0
0,1,"female",23,"European/Caucasian-American",1,1,1,"Law",20,20,20,20,10,10,7,8,9,7,8,8,7,8,10,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,8,1,1,0,0
0,1,"female",23,"European/Caucasian-American",0,1,1,"Law",20,20,20,20,10,10,7,8,9,7,8,4,7,8,8,6,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.05,1,4,1,0,0,0
0,1,"female",23,"European/Caucasian-American",1,1,1,"Law",20,20,20,20,10,10,7,8,9,7,8,8,10,7,10,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,8,10,1,1,1
0,1,"female",23,"European/Caucasian-American",0,1,1,"Law",20,20,20,20,10,10,7,8,9,7,8,6,9,8,9,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.21,1,7,7,0,0,0
0,1,"female",23,"European/Caucasian-American",1,1,1,"Law",20,20,20,20,10,10,7,8,9,7,8,5,10,8,4,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.37,1,4,3,0,0,0
0,1,"female",23,"European/Caucasian-American",1,1,1,"Law",20,20,20,20,10,10,7,8,9,7,8,7,10,10,7,10,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.35,1,5,1,0,0,0
0,1,"female",23,"European/Caucasian-American",1,1,1,"Law",20,20,20,20,10,10,7,8,9,7,8,5,9,9,5,9,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.15,1,6,6,0,0,0
0,1,"female",23,"European/Caucasian-American",1,1,1,"Law",20,20,20,20,10,10,7,8,9,7,8,9,8,10,10,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.47,1,8,8,0,1,1
0,1,"female",23,"European/Caucasian-American",1,1,1,"Law",20,20,20,20,10,10,7,8,9,7,8,8,9,10,10,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.19,1,10,8,0,1,0
1,1,"female",21,"European/Caucasian-American",1,8,1,"Law",20,5,25,25,10,15,6,3,6,10,8,5,8,8,2,2,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.43,7,7,5,0,0,0
1,1,"female",21,"European/Caucasian-American",1,8,1,"Law",20,5,25,25,10,15,6,3,6,10,8,8,6,6,5,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0,7,6,4,1,0,0
1,1,"female",21,"European/Caucasian-American",0,8,1,"Law",20,5,25,25,10,15,6,3,6,10,8,4,6,8,8,6,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.17,7,6,5,1,0,0
1,1,"female",21,"European/Caucasian-American",1,8,1,"Law",20,5,25,25,10,15,6,3,6,10,8,8,5,5,7,7,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.08,7,8,2,1,1,1
1,1,"female",21,"European/Caucasian-American",0,8,1,"Law",20,5,25,25,10,15,6,3,6,10,8,6,7,7,5,4,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.16,7,7,4,0,0,0
1,1,"female",21,"European/Caucasian-American",1,8,1,"Law",20,5,25,25,10,15,6,3,6,10,8,5,6,7,5,7,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.06,7,7,3,0,1,0
1,1,"female",21,"European/Caucasian-American",1,8,1,"Law",20,5,25,25,10,15,6,3,6,10,8,6,6,8,5,5,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.05,7,6,3,0,1,0
1,1,"female",21,"European/Caucasian-American",1,8,1,"Law",20,5,25,25,10,15,6,3,6,10,8,5,5,7,6,7,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.07,7,6,4,0,1,0
1,1,"female",21,"European/Caucasian-American",1,8,1,"Law",20,5,25,25,10,15,6,3,6,10,8,7,5,7,8,7,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.13,7,9,4,0,1,1
1,1,"female",21,"European/Caucasian-American",1,8,1,"Law",20,5,25,25,10,15,6,3,6,10,8,9,6,7,9,6,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.06,7,10,3,0,1,0
0,1,"female",23,"Asian/Pacific Islander/Asian-American",0,1,1,"law",10,25,20,25,5,15,5,7,8,9,5,6,9,7,6,7,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.33,4,6,6,0,1,0
0,1,"female",23,"Asian/Pacific Islander/Asian-American",0,1,1,"law",10,25,20,25,5,15,5,7,8,9,5,6,9,9,6,8,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.37,4,7,6,0,1,0
0,1,"female",23,"Asian/Pacific Islander/Asian-American",1,1,1,"law",10,25,20,25,5,15,5,7,8,9,5,4,7,9,4,3,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,-0.51,4,6,2,1,0,0
0,1,"female",23,"Asian/Pacific Islander/Asian-American",0,1,1,"law",10,25,20,25,5,15,5,7,8,9,5,8,6,7,8,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.12,4,9,4,0,1,1
0,1,"female",23,"Asian/Pacific Islander/Asian-American",0,1,1,"law",10,25,20,25,5,15,5,7,8,9,5,5,4,8,8,4,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.35,4,4,3,1,0,0
0,1,"female",23,"Asian/Pacific Islander/Asian-American",0,1,1,"law",10,25,20,25,5,15,5,7,8,9,5,3,7,6,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.19,4,2,2,0,0,0
0,1,"female",23,"Asian/Pacific Islander/Asian-American",0,1,1,"law",10,25,20,25,5,15,5,7,8,9,5,8,8,8,8,3,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.47,4,8,7,0,1,0
0,1,"female",23,"Asian/Pacific Islander/Asian-American",0,1,1,"law",10,25,20,25,5,15,5,7,8,9,5,4,8,9,2,8,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.03,4,5,5,0,0,0
0,1,"female",23,"Asian/Pacific Islander/Asian-American",0,1,1,"law",10,25,20,25,5,15,5,7,8,9,5,7,6,8,8,6,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.46,4,9,6,0,1,1
0,1,"female",23,"Asian/Pacific Islander/Asian-American",0,1,1,"law",10,25,20,25,5,15,5,7,8,9,5,8,9,9,9,10,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.43,4,9,8,0,1,0
0,1,"female",22,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,15,25,20,15,10,6,6,5,7,7,4,8,8,5,7,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.19,7,7,4,0,0,0
0,1,"female",22,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,15,25,20,15,10,6,6,5,7,7,6,6,8,4,9,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.21,7,7,3,1,0,0
0,1,"female",22,"Asian/Pacific Islander/Asian-American",1,2,4,"Law",15,15,25,20,15,10,6,6,5,7,7,3,6,8,7,8,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.52,7,7,8,1,0,0
0,1,"female",22,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,15,25,20,15,10,6,6,5,7,7,7,8,8,7,7,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.46,7,8,6,1,1,1
0,1,"female",22,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,15,25,20,15,10,6,6,5,7,7,4,7,7,4,8,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.27,7,5,6,1,0,0
0,1,"female",22,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,15,25,20,15,10,6,6,5,7,7,4,8,7,4,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.59,7,5,5,0,0,0
0,1,"female",22,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,15,25,20,15,10,6,6,5,7,7,7,7,8,7,7,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.31,7,8,7,0,1,0
0,1,"female",22,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,15,25,20,15,10,6,6,5,7,7,5,7,8,5,9,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.08,7,5,7,0,0,0
0,1,"female",22,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,15,25,20,15,10,6,6,5,7,7,6,6,8,8,8,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.34,7,6,6,0,1,1
